,Datetime,Text
111,2021-05-18 22:45:24+00:00,DISGRACEFUL!!! Kevin McCarthy Protecting Trump Against Fact-Finding Jan ... https://t.co/05bdliTKy9 via @YouTube
112,2021-05-18 22:44:18+00:00,"“It literally took an act of God to deny Trump a chance of re-election.” If not for #COVID19, I believe he would have won. And I believe he could still win. And the thought terrifies me. https://t.co/YNCjvPkt5c"
113,2021-05-18 22:42:36+00:00,#January6Commission @GOPLeader is scared of testifying under oath. He and Trump had a verbal altercation where Trump denounced him s traitor while lauding the insurrectionists as patriots. Twisted mind if you ask me #CapitolRiots #January6Commission
114,2021-05-18 22:42:28+00:00,"@DonaldJTrumpJr Mr. Trump, Jr. During DJT's 1st term I supported DJT &amp; others thru Winred. I had never  donated before and did  way beyond my means because I believe in annointed DJT. I don't trust Winred. How do I support DJT."
115,2021-05-18 22:41:14+00:00,@BretBaier why can’t every American see how much damage he’s done to our country in his first hundred days . Biden has to go bring back Trump for life. At least we know he loves this country Biden hurts the USA
116,2021-05-18 22:39:36+00:00,"@kfbk It was Trump, right? You blame him for everything else that happens. Biden was napping."
117,2021-05-18 22:39:30+00:00,"Everyone here voted Trump, right?"
118,2021-05-18 22:38:39+00:00,@ChadGilmartinCA @GOPLeader @RepBrianMast Liz Cheney hinted that Trump and Kevin McCarthy may have talked about setting their stories strai... https://t.co/J5nUYSSI2M via @YahooNewsUK
119,2021-05-18 22:38:25+00:00,"@ConservaDude1 @GaSecofState @BrianKempGA @RepVernonJones That was done months ago. The 3 counties that failed to do so...that Trump won w/ over 60% in each, will be brought before the State Election Board. This claim has been false since it began."
120,2021-05-18 22:38:23+00:00,Liz Cheney hinted that Trump and Kevin McCarthy may have talked about setting their stories strai... https://t.co/J5nUYSSI2M via @YahooNews
121,2021-05-18 22:37:29+00:00,@fifijolie77 Tu te rappelle pas de Q le complotiste Américain anonyme de Donald Trump?
122,2021-05-18 22:37:06+00:00,"@chemaotamendi No creo esté coordinado, obviamente Irán en los años de Trump estuvo enviando los cohetes a Palestina.

Ahora en América Latina si está orquestado por el foro de Sao Paulo.

Orquestado o no, hay que defenderse y detenerlos."
123,2021-05-18 22:34:47+00:00,@mattgaetz wants to potentially take #Trump's place in 2024. Just like @AOC WILL take Bernie's place in 2024. If you think the pedophilia stuff will hurt him than you must have missed when it DIDNT hurt Trump. He has a serious chance of getting passed this. Scary! #FBRParty
124,2021-05-18 22:33:19+00:00,Only Trump can #SaveAmerica https://t.co/YJjig4bLYY
125,2021-05-18 22:33:10+00:00,@briantylercohen @RepKatiePorter He is obviously a graduate of the  #Trump school of truth-telling. #KeepThemHonest
126,2021-05-18 22:32:48+00:00,So….how much longer are we saddled with the bill for the trumps secret service details?
127,2021-05-18 22:31:50+00:00,One of the most vile members of Trump’s party can’t follow the rules. https://t.co/8xuyqXNws9
128,2021-05-18 22:31:26+00:00,"Palestinians have to change their tactics : make every year  a peaceful march to the Israeli border from Lebanon , Jorden ,Egypt and all the other countries they live to get the world attention to their plight . # Palestinians #Israelis # Biden and Trump #Putin Russia #Gaza #Arab https://t.co/TlM0jqVqUa"
129,2021-05-18 22:31:16+00:00,"And they said President Trump catered to Putin, Hypocrisy defines these evil SOB’s https://t.co/UUuLV9dxoy"
130,2021-05-18 22:30:49+00:00,Why do I feel like CNN &amp; co would have led their broadcast with this footage for 24 hours straight if it had been Trump joking about running over a reporter for asking about Russia? https://t.co/TTSiYvdbPf
131,2021-05-18 22:29:58+00:00,"3 hooray 4 Twitter. Devon Nunez Congressman son of a bitch, asshole,traitor to the United States of America. He tried to get a Twitter account of a person using parity to trash HIM. Nunez use the justice department under Trump to find the person. Current DOJ investigating."
132,2021-05-18 22:29:58+00:00,President Trump on Georgia Republican Party https://t.co/D1u5xhT2lk
133,2021-05-18 22:27:42+00:00,Kevin McCarthy reminds me of the Tories during the American Revolution of 1776. He is selling his soul to Donald Trump who will be dead before long. After all he is an obese 300 pound 74 year old. Kern County will boot him down the road.
134,2021-05-18 22:26:40+00:00,@jerrydad61 @POTUS @VP @CNN @ABC @nbc @CBS How about Kate’s Law? Both Trump and Biden. Said they would pass a standalone bill for Kate Steinle who was murdered by an illegal alien who had been deported six times. Enough before I have bullets coming out of my gun. I wouldn’t want to be on the other end
135,2021-05-18 22:25:04+00:00,"@LourinHubbard Stop supporting Israel...no weapons of mass destruction 
Cancel student debt
M4A
Raise minimum wage - at least $20.
GND!
Total police reform
Jail insurrectionists &amp; their Republican co-conspirators.
Put trump in prison.

I won’t be voting Dem. in 2020
I will vote Progressives."
136,2021-05-18 22:24:55+00:00,God I hate that our choices were these people and fucking Trump.  Two party system is garbage. https://t.co/dWh0uIX1sn
137,2021-05-18 22:23:43+00:00,"@DrMcKinn @BusinessInsider They Should be Subpoenaed because they Took an Oath to Protect, Defend and Serve the Country,  and Not Take an Oath to Protect and Serve Donald Trump as King or Emperor."
138,2021-05-18 22:20:30+00:00,Great! Let’s help him dump Trump’s disasters!! https://t.co/z3FEJjzHxm
139,2021-05-18 22:19:05+00:00,@gregolear I'm old enuf to remember when Spicer tried to sell Trumps inaugural as the biggest ever
140,2021-05-18 22:18:40+00:00,@chbaker1958 @TreeBoatRoad @DineshDSouza I disagree. Now that Trump is no longer presiden the left has decided  comments like that can be taken as a joke. However when Trump made a joke it was taken very seriously. Now you people want to come back down to reality and act somewhat reasonable?
141,2021-05-18 22:18:39+00:00,Some people are seriously so butt hurt over Trump losing. A bunch of babies who want to play soldier.
142,2021-05-18 22:18:08+00:00,"The future is bright at @TrumpHotels. A well deserved promotion today for Harrison, our new Attache Manager. In less than 2 years, Harrison has quickly become a STAR in our industry...Keep up the great work!!! We are all very proud of you...#trump #luxuryhotel #bestteam #success https://t.co/iLi1cPAiFi"
143,2021-05-18 22:17:46+00:00,"It's pretty clear with the Russia pipeline story today that the Biden administration is a far bigger pal, lickspittle, whatever, to Putin than people imagined Trump to be."
144,2021-05-18 22:17:30+00:00,"We have not heard from Joe Biden to support our ally Israel. The lame stream news would be all over Trump for not speaking but with Joe Biden it's ""doing nothing"" business as usual along with MSM who runs our Country now.."
145,2021-05-18 22:15:38+00:00,"Eat your heart out, President Biden. 🤣

President Trump hops into a truck cab https://t.co/4Vo7weffUl via @YouTube"
146,2021-05-18 22:15:27+00:00,Trump uses the National Equirer to get the boys in line.  Got some ghosts in your closet? Trump will use that against you.... BLACKMAIL https://t.co/aeGzVLaNOX
147,2021-05-18 22:15:26+00:00,"@mattklewis There is no good reason...he does not want to testify against his boss, trump!"
148,2021-05-18 22:14:11+00:00,Just an example of how the GOP is turning into a bag of Trump loyalists. They're all lining up to kiss Trump's ring. https://t.co/H4yD8yUfKZ
149,2021-05-18 22:12:37+00:00,"That's just an excuse. 
Next hell hide behind his religion to justify his ignorance then he might 😏try to claim 😉mental 😏😉illness or that Trump made him do it https://t.co/SclWvGYykd"
150,2021-05-18 22:12:17+00:00,La violencia en Israel es el precio de la debilidad de Biden https://t.co/XFx5NxgjhR  Bueno pues esperen por trump cuando el benga si gana que dudamos que esa basura de trump vuelva al poder ese perro corrupto ladrón y mentiroso.
151,2021-05-18 22:11:50+00:00,"@GOP 30,000 Palestinians killed or wounded in one year under Trump. WE are not at war with Hamas and it's Isreal that is doing most of the killing and destruction, so I'm not sure what message the United States can send at this point. Isreal won't even commit to a cease fire."
152,2021-05-18 22:09:22+00:00,And Trumps policies put the power back in the people’s hands and they are terrified of that! https://t.co/hmdhZFAzSJ
153,2021-05-18 22:09:21+00:00,"@Aced00d @DailyCaller @tedcruz The ""Violent Jan 6th insurrection"" against #Biden vs the ""Mostly Peaceful protests"" against police &amp; #Trump. https://t.co/1Qfj64qgaU"
154,2021-05-18 22:08:40+00:00,@Clore_Man It’s so crazy. Grown men. I really do think Trump has something on Kevin.
155,2021-05-18 22:07:29+00:00,"@derekburgan @drdoug16 @RopeDropRadio See what I am dealing with @TouringPlans. The blurry Doug photos will not due. @derekburgan, are you tired about your day because Trump U is harsh even for this bad photo."
156,2021-05-18 22:06:36+00:00,Weird that these democrats agree with President Trump. https://t.co/K1I5nOMAQZ
157,2021-05-18 22:06:10+00:00,@POTUS @VP @chuckschumer @SpeakerPelosi Weak and feckless politicians don't deserve political donations or support for reelection when you don't fight for Democracy. I'm not alone in being disgusted and disappointed at Democratic lameness. Being better than Trump isn't enough. https://t.co/TIkrxZ2CTU
158,2021-05-18 22:04:47+00:00,@MichaelBerube1 @JuddLegum Lol Did Trump get around to all their moth e rs?
159,2021-05-18 22:04:25+00:00,"@SpeakerPelosi @VP @POTUS 
Lets go on this commission
Now
We want thw insurrection front and center
Voting rights protected NOW
GOP is playing us all for fools
74 millionvoted for Trump
Stop minority tyrrany"
