,Datetime,Text
62,2021-12-27 17:03:00+00:00,"দীর্ঘ অপেক্ষার পর আন্তর্জাতিক স্বীকৃতি পেয়েছে তিলোত্তমার দুর্গাপুজো। তারই সেলিব্রেশনে আগামী বছর ১০ দিন আগে থেকে দুর্গাপুজো শুরুর সিদ্ধান্ত মুখ্যমন্ত্রী মমতা বন্দ্যোপাধ্যায়ের।

#banglargorbomamata 
#durgapuja 
#MamataBanerjeeZindabad  
#TrinamoolCongress
#FAM4TMC #AITCofficial https://t.co/9jqHPfvQHW"
63,2021-12-27 16:53:21+00:00,"TMC stands for TRYNA MISINFORM CITIZENS. From trying to steal credit for Durga Puja getting recognised by UNESCO to spreading lies on Missionaries of charity bank statements, TMC has come a long way! https://t.co/3htgB9QO7L"
64,2021-12-27 16:28:52+00:00,"@sreedharbhatm @sakshijoshii Durga puja 9 days?
Ganpati ji 10 days i think

Nd i our religion Muharram

So all should be banned?"
65,2021-12-27 15:26:22+00:00,"@ShanDas26950489 @AMITPAT01789385 @MNaikwade @BefittingFacts Cpim aur Congress ne Rakkha hy kya hai... 
Bjp West Bengal mein Leading Opposition hai , Jaab Opposition Durga Puja mein Koi Cheez ke Liye Oppose hy nhi kar rha hai toh The Govt in Power usko kya hy Takleef hai ... Itne bhi Secular matt ban jaoo..."
66,2021-12-27 12:09:22+00:00,"দীর্ঘ অপেক্ষার পর আন্তর্জাতিক স্বীকৃতি পেয়েছে তিলোত্তমার দুর্গাপুজো। তারই সেলিব্রেশনে আগামী বছর ১০ দিন আগে থেকে দুর্গাপুজো শুরুর সিদ্ধান্ত মুখ্যমন্ত্রী মমতা বন্দ্যোপাধ্যায়ের।
#banglargorbomamata #durgapuja #MamataBanerjee #TrinamoolCongress https://t.co/U1iYGciM49"
67,2021-12-27 11:21:51+00:00,"@MamataOfficial During Durga Puja , our Bangladesh Bengali brothers were tortured , pandals idols destroyed, killed. You didn’t bother to say a single word ."
68,2021-12-27 11:10:58+00:00,"@being_eyedolls Khali kana naba barsa... Durga puja, holi, deewali re bi poster.."
69,2021-12-27 11:03:42+00:00,"Durga Puja is an integral part of Navratri across different communities. The festival, mainly in Kolkata, sees lakhs of people every year to witness this visual treat."
70,2021-12-27 11:03:41+00:00,"Last week, #DurgaPuja was inscribed in @UNESCO's Representative List of Intangible Cultural Heritage and recognized as the best instance of a public performance of culture &amp; art.

@VarshaVRaman writes on the spiritual and cultural essence of Durga Puja.

https://t.co/5zYh1CSGlW"
71,2021-12-27 08:09:32+00:00,"I criticised Bangladeshi Government when Durga Puja pandals in several places in Bangladesh were destroyed in  October 2021. Similarly, I condemn attacks on Christians in India. Indian Central &amp; State Governments must ensure their safety &amp; security.
https://t.co/lNHJclir4d"
72,2021-12-27 07:32:41+00:00,"Hundreds of elated and proud Bengalis walked the Glory Walk to celebrate the fact that our Durga Puja is now on UNESCO's list of ""Intangible Cultural Heritage of Humanity"". #ThanksUNESCO2021 #DurgaPuja #Kolkata https://t.co/Hxnl9CM1hB"
73,2021-12-27 07:16:55+00:00,Questions Durga Puja but Defends Christmas Crowd 😂🙏 https://t.co/bdhLPy3mSd
74,2021-12-27 06:45:29+00:00,"Watch every soul rejoice with the chants of ""Bolo Durga Maa Ki Joy!"" #ThanksUNESCO2021 #DurgaPuja #Kolkata https://t.co/jfOGwEsBBr"
